source1,source2,count
greensboro.com,montrealgazette.com,710
nhregister.com,seattlepi.com,709
fox13memphis.com,wacotrib.com,709
bakersfield.com,onenewsnow.com,708
wftv.com,yahoo.com,708
fox23.com,greensboro.com,705
mynorthwest.com,sfgate.com,705
greensboro.com,iheart.com,704
greensboro.com,wral.com,704
dentonrc.com,greensboro.com,703
fredericksburg.com,ksl.com,703
iheart.com,princegeorgecitizen.com,702
greensboro.com,nwitimes.com,701
businessinsider.com,yahoo.com,700
accesswdun.com,princegeorgecitizen.com,700
dentonrc.com,onenewsnow.com,700
ctpost.com,wacotrib.com,698
chron.com,wsbtv.com,698
therepublic.com,wacotrib.com,697
jpost.com,wafa.ps,695
seattletimes.com,wfmz.com,695
chron.com,therepublic.com,694
ksl.com,sfgate.com,693
mychamplainvalley.com,wfmz.com,693
wacotrib.com,wsbtv.com,692
seattlepi.com,stamfordadvocate.com,691
onenewsnow.com,wfmz.com,690
bozemandailychronicle.com,wfmz.com,689
onenewsnow.com,thedailytimes.com,688
fox23.com,nzherald.co.nz,687
ctpost.com,washingtonpost.com,686
therepublic.com,washingtonpost.com,685
greensboro.com,nptelegraph.com,685
ctpost.com,greensboro.com,685
thehour.com,washingtonpost.com,684
newstimes.com,yahoo.com,682
therepublic.com,tucson.com,682
greensboro.com,providencejournal.com,681
registercitizen.com,seattlepi.com,679
beaumontenterprise.com,sfgate.com,679
fox13memphis.com,greensboro.com,678
newsadvance.com,nzherald.co.nz,678
fox23.com,wacotrib.com,678
wacotrib.com,wftv.com,678
accesswdun.com,yahoo.com,678
en.rfi.fr,yahoo.com,677
greensboro.com,missoulian.com,677
fox13memphis.com,washingtonpost.com,677
wacotrib.com,wpxi.com,675
greenwichtime.com,wacotrib.com,675
nzherald.co.nz,wsbtv.com,673
cbslocal.com,greensboro.com,672
mynorthwest.com,washingtonpost.com,672
nzherald.co.nz,wsoctv.com,671
msn.com,nbcnews.com,671
beaumontenterprise.com,thehour.com,671
ksl.com,mynorthwest.com,670
chron.com,ourmidland.com,670
chieftain.com,oanow.com,670
bozemandailychronicle.com,wacotrib.com,670
chron.com,fox23.com,669
couriermail.com.au,ntnews.com.au,668
seattlepi.com,thehour.com,667
thehour.com,wfmz.com,666
onenewsnow.com,providencejournal.com,666
wral.com,yahoo.com,665
newstimes.com,washingtonpost.com,665
