source1,source2,count
beaumontenterprise.com,middletownpress.com,506
beaumontenterprise.com,lmtonline.com,506
dailymail.co.uk,sfgate.com,506
ksl.com,thehour.com,504
ksl.com,nhregister.com,503
chron.com,dailymail.co.uk,502
ctpost.com,mynorthwest.com,500
ksl.com,seattlepi.com,499
registercitizen.com,tucson.com,497
msn.com,nzherald.co.nz,494
ksl.com,registercitizen.com,492
msn.com,nhregister.com,492
ctpost.com,startribune.com,492
beaumontenterprise.com,stamfordadvocate.com,490
chieftain.com,newstimes.com,488
ctpost.com,wsoctv.com,487
greenwichtime.com,startribune.com,484
newstimes.com,tucson.com,483
msn.com,registercitizen.com,483
ctpost.com,lmtonline.com,481
beaumontenterprise.com,greensboro.com,481
chron.com,fredericksburg.com,480
msn.com,wacotrib.com,479
chieftain.com,mynorthwest.com,478
greenwichtime.com,mysanantonio.com,476
beaumontenterprise.com,seattlepi.com,474
chieftain.com,middletownpress.com,473
foxnews.com,msn.com,471
fredericksburg.com,washingtonpost.com,466
indiatimes.com,wfmz.com,465
gwdtoday.com,zazoom.it,464
ctpost.com,mysanantonio.com,464
thehour.com,wsoctv.com,461
beaumontenterprise.com,washingtonpost.com,454
businessinsider.com,msn.com,454
greenwichtime.com,wsoctv.com,452
beaumontenterprise.com,tucson.com,449
seattlepi.com,wsoctv.com,449
foxnews.com,reuters.com,447
cbslocal.com,chron.com,444
ksl.com,newstimes.com,442
mysanantonio.com,thehour.com,442
beaumontenterprise.com,nzherald.co.nz,442
lmtonline.com,registercitizen.com,441
mynorthwest.com,thehour.com,441
greenwichtime.com,mynorthwest.com,440
mynorthwest.com,seattlepi.com,440
lmtonline.com,washingtonpost.com,439
msn.com,stamfordadvocate.com,439
greenwichtime.com,msn.com,438
sfgate.com,tampabay.com,436
mysanantonio.com,wacotrib.com,434
chron.com,indiatimes.com,434
middletownpress.com,msn.com,432
stamfordadvocate.com,tucson.com,431
fredericksburg.com,sfgate.com,431
cbslocal.com,wacotrib.com,430
mynorthwest.com,tampabay.com,429
ksl.com,stamfordadvocate.com,429
middletownpress.com,mysanantonio.com,428
newstimes.com,wsoctv.com,428
mysanantonio.com,yahoo.com,426
greensboro.com,mysanantonio.com,425
registercitizen.com,wsoctv.com,423
nhregister.com,wsoctv.com,423
indiatimes.com,wacotrib.com,422
startribune.com,tampabay.com,422
startribune.com,thehour.com,422
mysanantonio.com,nhregister.com,420
msn.com,wsoctv.com,418
mynorthwest.com,newstimes.com,418
wafa.ps,wfmz.com,416
reuters.com,sfgate.com,416
mynorthwest.com,wsoctv.com,415
mysanantonio.com,registercitizen.com,413
iheart.com,startribune.com,413
stamfordadvocate.com,wsoctv.com,413
beaumontenterprise.com,ksl.com,411
mynorthwest.com,stamfordadvocate.com,411
middletownpress.com,wsoctv.com,411
cbslocal.com,washingtonpost.com,410
nhregister.com,startribune.com,408
reuters.com,wfmz.com,408
middletownpress.com,startribune.com,408
seattlepi.com,tampabay.com,407
stamfordadvocate.com,startribune.com,406
indiatimes.com,msn.com,406
beaumontenterprise.com,wfmz.com,405
iheart.com,msn.com,404
mysanantonio.com,tucson.com,403
fasopresse.net,sputniknews.com,403
lmtonline.com,stamfordadvocate.com,400
mysanantonio.com,newstimes.com,400
newstimes.com,startribune.com,399
middletownpress.com,mynorthwest.com,399
middletownpress.com,tampabay.com,397
mynorthwest.com,registercitizen.com,393
beaumontenterprise.com,chieftain.com,392
registercitizen.com,startribune.com,389
lmtonline.com,nhregister.com,389
ksl.com,mysanantonio.com,388
iheart.com,sputniknews.com,387
nhregister.com,tampabay.com,387
foxnews.com,washingtonpost.com,386
dailymail.co.uk,nzherald.co.nz,384
ctpost.com,fredericksburg.com,384
dailymail.co.uk,wfmz.com,383
mysanantonio.com,washingtonpost.com,383
mysanantonio.com,wfmz.com,383
cbslocal.com,msn.com,382
mynorthwest.com,nhregister.com,382
lmtonline.com,yahoo.com,381
ctpost.com,tampabay.com,381
tampabay.com,thehour.com,381
mysanantonio.com,seattlepi.com,379
seattlepi.com,startribune.com,379
indiatimes.com,wsoctv.com,378
beaumontenterprise.com,mynorthwest.com,374
indiatimes.com,nzherald.co.nz,373
mysanantonio.com,stamfordadvocate.com,369
iheart.com,indiatimes.com,369
palestinemonitor.org,wafa.ps,368
english.wafa.ps,yahoo.com,368
lmtonline.com,wacotrib.com,368
indiatimes.com,washingtonpost.com,367
msn.com,mynorthwest.com,366
dailymail.co.uk,nbcnews.com,365
cbslocal.com,wsoctv.com,364
fredericksburg.com,msn.com,362
fredericksburg.com,startribune.com,356
fredericksburg.com,thehour.com,354
chron.com,reuters.com,353
lmtonline.com,mysanantonio.com,353
beaumontenterprise.com,tampabay.com,348
indiatimes.com,sfgate.com,348
iheart.com,washingtonpost.com,347
newstimes.com,tampabay.com,347
dailymail.co.uk,greensboro.com,345
fredericksburg.com,nhregister.com,345
greenwichtime.com,tampabay.com,345
cbslocal.com,sfgate.com,340
registercitizen.com,tampabay.com,339
chieftain.com,mysanantonio.com,338
nzherald.co.nz,reuters.com,337
beaumontenterprise.com,startribune.com,332
wafa.ps,yahoo.com,332
msn.com,wafa.ps,332
fredericksburg.com,mynorthwest.com,331
ksl.com,lmtonline.com,330
fredericksburg.com,greenwichtime.com,326
dailymail.co.uk,wacotrib.com,325
chieftain.com,reuters.com,325
fredericksburg.com,seattlepi.com,324
dailymail.co.uk,ksl.com,324
fredericksburg.com,wsoctv.com,317
lmtonline.com,tucson.com,317
mynorthwest.com,mysanantonio.com,317
beaumontenterprise.com,msn.com,315
lmtonline.com,middletownpress.com,314
businessinsider.com,iheart.com,313
english.wafa.ps,msn.com,312
mysanantonio.com,nzherald.co.nz,312
cbslocal.com,tampabay.com,311
mysanantonio.com,startribune.com,311
lmtonline.com,seattlepi.com,310
fredericksburg.com,newstimes.com,310
chieftain.com,indiatimes.com,309
msn.com,seattlepi.com,309
dailymail.co.uk,greenwichtime.com,308
reuters.com,wacotrib.com,307
businessinsider.com,wfmz.com,307
fredericksburg.com,registercitizen.com,306
cbslocal.com,ksl.com,306
ctpost.com,dailymail.co.uk,306
fredericksburg.com,middletownpress.com,304
reuters.com,wsoctv.com,304
cbslocal.com,tucson.com,302
dailymail.co.uk,wsoctv.com,302
chron.com,nbcnews.com,300
ksl.com,reuters.com,298
indiatimes.com,ksl.com,298
stamfordadvocate.com,tampabay.com,297
businessinsider.com,greensboro.com,295
beaumontenterprise.com,wsoctv.com,294
greensboro.com,lmtonline.com,294
gwdtoday.com,indiatimes.com,292
dailymail.co.uk,newstimes.com,292
nbcnews.com,wafa.ps,290
indiatimes.com,startribune.com,290
cbslocal.com,dailymail.co.uk,289
cbslocal.com,ctpost.com,283
ctpost.com,reuters.com,283
greensboro.com,reuters.com,283
mysanantonio.com,wsoctv.com,282
cbc.ca,msn.com,282
cbslocal.com,indiatimes.com,281
nbcnews.com,sfgate.com,281
foxnews.com,nbcnews.com,281
channelnewsasia.com,france24.com,280
cbslocal.com,newstimes.com,278
foxnews.com,sfgate.com,278
cbslocal.com,nzherald.co.nz,275
ctpost.com,indiatimes.com,274
business-standard.com,fasopresse.net,273
cbslocal.com,chieftain.com,272
chieftain.com,dailymail.co.uk,272
lmtonline.com,startribune.com,272
fredericksburg.com,stamfordadvocate.com,271
cbslocal.com,greenwichtime.com,270
greenwichtime.com,reuters.com,268
nbcnews.com,washingtonpost.com,268
lmtonline.com,wfmz.com,268
dailymail.co.uk,startribune.com,267
greenwichtime.com,indiatimes.com,265
msn.com,startribune.com,265
registercitizen.com,reuters.com,265
dailymail.co.uk,nhregister.com,263
cbslocal.com,stamfordadvocate.com,262
dailymail.co.uk,mysanantonio.com,262
cbc.ca,yahoo.com,261
lmtonline.com,mynorthwest.com,260
indiatimes.com,registercitizen.com,259
cbslocal.com,thehour.com,259
dailymail.co.uk,stamfordadvocate.com,258
indiatimes.com,thehour.com,257
dailymail.co.uk,middletownpress.com,257
beaumontenterprise.com,fredericksburg.com,257
mysanantonio.com,tampabay.com,256
ctpost.com,iheart.com,255
businessinsider.com,ctpost.com,255
dailymail.co.uk,thehour.com,254
dw.com,english.wafa.ps,254
indiatimes.com,middletownpress.com,254
dailymail.co.uk,tampabay.com,250
english.wafa.ps,xinhuanet.com,250
cbslocal.com,startribune.com,249
cbslocal.com,registercitizen.com,249
dailymail.co.uk,indiatimes.com,249
chron.com,iheart.com,249
nhregister.com,reuters.com,247
dailymail.co.uk,france24.com,247
indiatimes.com,stamfordadvocate.com,245
reuters.com,tampabay.com,245
indiatimes.com,newstimes.com,243
businessinsider.com,thehour.com,242
cbslocal.com,nhregister.com,241
middletownpress.com,reuters.com,239
indiatimes.com,nhregister.com,237
dailymail.co.uk,wafa.ps,237
dawn.com,indiatimes.com,237
msn.com,mysanantonio.com,236
businessinsider.com,greenwichtime.com,236
dailymail.co.uk,registercitizen.com,234
newstimes.com,reuters.com,234
chron.com,foxnews.com,233
dailymail.co.uk,tucson.com,233
businessinsider.com,newstimes.com,232
cbslocal.com,reuters.com,231
reuters.com,thehour.com,231
reuters.com,tucson.com,229
cbslocal.com,seattlepi.com,229
indiatimes.com,mynorthwest.com,228
reuters.com,zazoom.it,227
nbcnews.com,wfmz.com,225
nytimes.com,yahoo.com,225
cbslocal.com,middletownpress.com,225
dw.com,msn.com,224
