mentions_count,source_name,person,tone_avg,tone_std
33,sfgate.com,Bill Clinton,-0.20207264587331747,2.1638562170964715
33,yahoo.com,Bill Clinton,-0.53924085403935,2.7570163068804807
33,msn.com,George Herbert Walker Bush,0.25466739514002396,1.6772996878110082
32,tucson.com,Barbara Bush,0.9343428401287316,1.1281046019086944
32,ksl.com,Vladimir Putin,-2.231668198300334,2.155493652642026
31,yahoo.com,Barbara Bush,-0.4553298919748894,1.872822847243128
31,washingtonpost.com,Bill Clinton,-0.3385138372681308,2.408874634359083
31,washingtonpost.com,Kid Rock,-0.2435471200505168,1.3257885246215029
31,chron.com,Lopez Obrador,0.6574794991053852,0.5562386516949016
31,wacotrib.com,Ronald Reagan,0.43307310718852093,1.6240902723255783
31,msn.com,Saddam Hussein,-1.1821392134029822,1.5359741507511342
31,yahoo.com,Saddam Hussein,-2.633206657364394,3.502976921732165
