GLOBALEVENTID,MentionSourceName,f0_
791208096,bta.bg,1
791208093,bta.bg,1
791210294,bta.bg,1
791203030,bu.edu,1
791117018,bu.edu,1
791202963,bu.edu,1
791201443,bu.edu,1
791201555,bu.edu,1
791202537,bu.edu,1
791203108,bu.edu,1
791201356,bu.edu,1
791201507,bu.edu,1
791203019,bu.edu,1
791087526,bu.edu,1
791202521,bu.edu,1
791203107,bu.edu,1
791201857,bu.edu,1
791090073,bu.edu,1
791201442,bu.edu,1
791201856,bu.edu,1
791101035,bu.edu,1
791202520,bu.edu,1
791203046,bu.edu,1
791208148,cbc.ca,1
791091329,cbc.ca,1
791209012,cbc.ca,1
791209409,cbc.ca,1
791209077,cbc.ca,1
791207984,cbc.ca,1
791208235,cbc.ca,1
791209011,cbc.ca,1
791208273,cbc.ca,1
791208408,cbc.ca,1
791209426,cbc.ca,1
791208724,cbc.ca,1
791111413,cbc.ca,1
791124205,cbc.ca,1
791208344,cbc.ca,1
791208211,cbc.ca,1
791209475,cbc.ca,1
791208234,cbc.ca,1
791208220,cbc.ca,1
791209255,cbc.ca,1
791208684,cbc.ca,1
791208194,cbc.ca,1
791208687,cbc.ca,1
791209351,cbc.ca,1
791208688,cbc.ca,1
791209350,cbc.ca,1
791208024,cbc.ca,1
791208683,cbc.ca,1
791209428,cbc.ca,1
791208025,cbc.ca,1
791208685,cbc.ca,1
791207886,cbc.ca,1
791104251,dw.com,1
791209133,dw.com,1
791206994,dw.com,1
791207678,dw.com,1
791090723,dw.com,1
791207187,dw.com,1
791207418,dw.com,1
791207070,dw.com,1
791206985,dw.com,1
791165658,dw.com,1
791207318,dw.com,1
791208772,dw.com,1
791207177,dw.com,1
791206984,dw.com,1
791207188,dw.com,1
791085712,dw.com,1
791209776,dw.com,1
791207175,dw.com,1
791207752,dw.com,1
791207803,dw.com,1
791207417,dw.com,1
791173364,dw.com,1
791208709,dw.com,1
791094531,dw.com,1
791206974,dw.com,1
791207679,dw.com,1
791165654,dw.com,1
791201128,dw.com,1
791207189,dw.com,1
791207753,dw.com,1
791207017,dw.com,1
791207174,dw.com,1
791207319,dw.com,1
791207804,dw.com,1
791213589,dw.com,1
791207176,dw.com,1
791207019,dw.com,1
791210084,dw.com,1
791206975,dw.com,1
791206976,dw.com,1
791213591,dw.com,1
791173366,dw.com,1
791207416,dw.com,1
791207190,dw.com,1
791201129,dw.com,1
791086667,e15.cz,1
791208511,epc.eu,1
791208518,epc.eu,1
791208574,epc.eu,1
791208509,epc.eu,1
791208519,epc.eu,1
791208512,epc.eu,1
791208600,epc.eu,1
791209078,epc.eu,1
791208601,epc.eu,1
791208603,epc.eu,1
791208602,epc.eu,1
791208517,epc.eu,1
791208510,epc.eu,1
791208573,epc.eu,1
791205532,geo.tv,1
791205534,geo.tv,1
791113102,geo.tv,1
791129823,geo.tv,1
791086361,geo.tv,1
791205103,geo.tv,1
791131750,geo.tv,1
791150912,geo.tv,1
791153936,geo.tv,1
791109004,geo.tv,1
791122234,geo.tv,1
791091761,geo.tv,1
791192588,geo.tv,1
791206138,geo.tv,1
791204752,geo.tv,1
791205848,geo.tv,1
791089111,geo.tv,1
791098789,geo.tv,1
791195923,go.com,1
791194503,go.com,1
791209253,go.com,1
791196036,go.com,1
791201044,go.com,1
791195647,go.com,1
694206559,go.com,1
791196033,go.com,1
791195521,go.com,1
791202719,go.com,1
791095566,go.com,1
791196035,go.com,1
791195095,go.com,1
791195648,go.com,1
791210912,gov.ge,1
791209802,gov.ge,1
791089291,gov.ge,1
791208696,gov.za,1
791204501,haz.de,1
791210492,hbl.fi,1
791123378,hbl.fi,1
791210488,hbl.fi,1
791184119,hna.de,1
791203782,hna.de,1
791203389,hna.de,1
791185068,hna.de,1
791184368,hna.de,1
791203783,hna.de,1
791104645,hna.de,1
791184378,hna.de,1
791184015,hna.de,1
791097313,hna.de,1
791185067,hna.de,1
791204653,hna.de,1
791184016,hna.de,1
791184120,hna.de,1
791190742,hna.de,1
791203816,hna.de,1
791184367,hna.de,1
791124329,hna.de,1
791203774,hna.de,1
791203512,hna.de,1
791213647,ime.bg,1
791213425,ime.bg,1
791084220,ime.bg,1
791213309,ime.bg,1
791134770,ivg.it,1
791095430,ivg.it,1
791210457,ivg.it,1
791207203,kke.gr,1
791203948,kke.gr,1
791158578,kke.gr,1
791206759,kke.gr,1
791158093,kke.gr,1
791207339,kke.gr,1
791160782,moz.de,1
