GLOBALEVENTID,MentionSourceName,Confidence,MentionDocTone
735662440,wfmz.com,20,-4.15973377703827
735662440,wfmz.com,20,-4.16666666666667
735662440,wral.com,20,-4.68164794007491
735662440,wvnews.com,20,-4.42477876106195
735662440,wvnews.com,20,-4.49640287769784
735662440,yahoo.com,20,-4.68164794007491
735662440,yakimaherald.com,20,-4.58715596330275
735662635,abc-7.com,40,-3.76007162041182
735662635,abqjournal.com,10,-4.46428571428571
735662635,abqjournal.com,10,-4.57038391224862
735662635,ap.org,40,-3.54767184035477
735662635,ap.org,40,-3.56744704570792
735662635,bdtonline.com,40,-5
735662635,beaumontenterprise.com,40,-4.78927203065134
735662635,bellinghamherald.com,40,-4.64684014869888
735662635,bgdailynews.com,40,-4.59558823529412
735662635,bozemandailychronicle.com,40,-4.59558823529412
735662635,bradenton.com,40,-4.64684014869888
735662635,caledonianrecord.com,40,-3.76068376068376
735662635,charlotteobserver.com,40,-4.48598130841121
735662635,chieftain.com,40,-4.75285171102662
735662635,chron.com,40,-3.55160932297448
735662635,chron.com,40,-4.78927203065134
735662635,ctpost.com,40,-4.78927203065134
735662635,dailyherald.com,40,-4.80769230769231
735662635,dailymail.co.uk,40,-4.68164794007491
735662635,dailyprogress.com,40,-4.58715596330275
735662635,easttexasmatters.com,40,-4.73484848484848
735662635,expressnews.com,40,-4.78927203065134
735662635,fairfieldcitizenonline.com,40,-4.78927203065134
735662635,fredericksburg.com,40,-4.58715596330275
735662635,go.com,40,-4.75285171102662
735662635,godanriver.com,40,-4.58715596330275
735662635,greensboro.com,40,-4.57875457875458
735662635,greenwichtime.com,40,-4.78927203065134
735662635,herald-dispatch.com,40,-3.98481973434535
735662635,herald-dispatch.com,40,-5.23809523809524
735662635,houstonchronicle.com,40,-4.78927203065134
735662635,ivpressonline.com,40,-5.18474374255066
735662635,ivpressonline.com,40,-5.68685376661743
735662635,ivpressonline.com,40,-6.20689655172414
735662635,kait8.com,40,-3.69843527738265
735662635,kltv.com,40,-3.41064120054571
735662635,koaa.com,40,-3.74665477252453
735662635,kpvi.com,40,-3.53581142339075
735662635,kristv.com,40,-3.41064120054571
735662635,kristv.com,40,-3.63967242948134
735662635,kristv.com,40,-4.61254612546126
735662635,ksby.com,40,-3.42465753424658
735662635,ksby.com,40,-3.75335120643431
735662635,lacrossetribune.com,40,-4.59558823529412
735662635,leaderpost.com,40,-4.68164794007491
735662635,lex18.com,40,-3.42465753424658
735662635,lex18.com,40,-3.64963503649635
735662635,lmtonline.com,40,-4.78927203065134
735662635,macon.com,40,-4.36363636363636
735662635,messenger-inquirer.com,20,-3.30760749724366
735662635,middletownpress.com,40,-4.78927203065134
735662635,montrealgazette.com,40,-4.68164794007491
735662635,morganton.com,40,-4.59558823529412
735662635,mrt.com,40,-4.78927203065134
735662635,muscatinejournal.com,40,-4.59558823529412
735662635,myjournalcourier.com,40,-4.78927203065134
735662635,mynorthwest.com,40,-4.52079566003617
735662635,myplainview.com,40,-4.78927203065134
735662635,mysanantonio.com,40,-4.78927203065134
735662635,mywabashvalley.com,40,-4.73484848484848
735662635,nationalpost.com,40,-4.68164794007491
735662635,newmilfordspectrum.com,40,-4.78927203065134
735662635,news12.com,40,-3.43406593406593
735662635,newsadvance.com,40,-4.58715596330275
735662635,newspressnow.com,40,-4.59558823529412
735662635,newstimes.com,40,-4.78927203065134
735662635,newswest9.com,40,-3.3921302578019
735662635,newswest9.com,40,-3.62647325475974
735662635,nhregister.com,40,-4.78927203065134
735662635,nptelegraph.com,40,-3.57894736842105
735662635,nptelegraph.com,40,-4.59558823529412
735662635,nzherald.co.nz,40,-3.86643233743409
735662635,oanow.com,40,-4.57875457875458
735662635,omaha.com,40,-3.64415862808145
735662635,omaha.com,40,-4.7438330170778
